State,Type of Crime,Crime,Year,Count
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1960,406
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1961,427
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1962,316
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1963,340
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,2005,374
Alabama,Violent Crime,Forcible rape,1960,281
Alabama,Violent Crime,Forcible rape,1961,252
Alabama,Violent Crime,Forcible rape,1962,218
Alabama,Violent Crime,Forcible rape,2003,1656
Alabama,Violent Crime,Forcible rape,2004,1742
Alabama,Violent Crime,Forcible rape,2005,1564
Alabama,Violent Crime,Robbery,1960,898
Alabama,Violent Crime,Robbery,1961,630
Alabama,Violent Crime,Robbery,1962,754
Alabama,Violent Crime,Robbery,1963,828
Alabama,Violent Crime,Robbery,1964,992
Alabama,Violent Crime,Robbery,1965,992
Alabama,Violent Crime,Robbery,1966,1124
Alaska,Property Crime,Burglary,1984,6184
Alaska,Property Crime,Burglary,1985,6209
Ohio,Property Crime,Motor vehicle theft,1960,13069
Ohio,Property Crime,Motor vehicle theft,1961,12047
Ohio,Property Crime,Motor vehicle theft,1962,13781
Tennessee,Violent Crime,Robbery,2004,8863
Tennessee,Violent Crime,Robbery,2005,9974
Tennessee,Violent Crime,Aggravated assault,1960,1793
Wyoming,Property Crime,Motor vehicle theft,1987,679
Wyoming,Property Crime,Motor vehicle theft,1988,671
Wyoming,Property Crime,Motor vehicle theft,1989,652
Wyoming,Property Crime,Motor vehicle theft,1990,676
Wyoming,Property Crime,Motor vehicle theft,1991,711
Wyoming,Property Crime,Motor vehicle theft,1992,701
Wyoming,Property Crime,Motor vehicle theft,1993,728
Wyoming,Property Crime,Motor vehicle theft,1994,771
Wyoming,Property Crime,Motor vehicle theft,1995,805
Wyoming,Property Crime,Motor vehicle theft,1996,669
Wyoming,Property Crime,Motor vehicle theft,1997,647
Wyoming,Property Crime,Motor vehicle theft,1998,669
Wyoming,Property Crime,Motor vehicle theft,1999,596
Wyoming,Property Crime,Motor vehicle theft,2000,573
Wyoming,Property Crime,Motor vehicle theft,2001,696
Wyoming,Property Crime,Motor vehicle theft,2002,743
Wyoming,Property Crime,Motor vehicle theft,2003,798
Wyoming,Property Crime,Motor vehicle theft,2004,799
Wyoming,Property Crime,Motor vehicle theft,2005,739
